ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2025-12-29,2.9878,0.32,0.0097,
BAC,2025-12-30,3.2391,8.41,0.2514,
BAC,2026-01-02,3.5292,8.96,0.2901,
BAC,2026-01-05,3.4809,-1.37,-0.0484,
BAC,2026-01-07,3.5776,2.78,0.0967,
BAC,2026-01-08,3.5872,0.27,0.0097,
BAC,2026-01-09,3.5776,-0.27,-0.0097,
BAC,2026-01-12,3.5776,0.0,0.0,
BAC,2026-01-13,3.5872,0.27,0.0097,
BAC,2026-01-14,3.6356,1.35,0.0484,
BAC,2026-01-15,3.5776,-1.6,-0.058,
BAC,2026-01-16,3.829,7.03,0.2514,
BAC,2026-01-19,3.742,-2.27,-0.087,
BAC,2026-01-20,3.6453,-2.58,-0.0967,
BAC,2026-01-21,3.6162,-0.8,-0.029,
BAC,2026-01-22,3.6549,1.07,0.0387,
BAC,2026-01-23,3.7129,1.59,0.058,
BAC,2026-01-26,3.6453,-1.82,-0.0677,
BAC,2026-01-27,3.5679,-2.12,-0.0774,
BAC,2026-01-28,3.5969,0.81,0.029,
BAC,2026-01-29,3.6549,1.61,0.058,
BAC,2026-01-30,3.6549,0.0,0.0,
BAC,2026-02-02,3.6743,0.53,0.0193,
BAC,2026-02-03,3.5002,-4.74,-0.174,
BAC,2026-02-04,3.6453,4.14,0.145,
BAC,2026-02-05,3.6066,-1.06,-0.0387,
BAC,2026-02-06,3.6743,1.88,0.0677,
BAC,2026-02-09,3.7323,1.58,0.058,
BAC,2026-02-10,4.0417,8.29,0.3094,
BAC,2026-02-11,4.032,-0.24,-0.0097,
BAC,2026-02-12,4.0127,-0.48,-0.0193,
BAC,2026-02-13,3.9063,-2.65,-0.1064,
BAC,2026-02-16,3.8096,-2.48,-0.0967,
BAC,2026-02-17,3.5969,-5.58,-0.2127,
BAC,2026-02-18,3.6743,2.15,0.0774,
BAC,2026-02-19,3.6743,0.0,0.0,
BAC,2026-02-20,3.7613,2.37,0.087,
BAC,2026-02-23,3.9353,4.63,0.174,
BAC,2026-02-24,3.8193,-2.95,-0.116,
BAC,2026-02-25,3.8193,0.0,0.0,
BAC,2026-02-26,3.8676,1.27,0.0483,
BAC,2026-02-27,3.8483,-0.5,-0.0193,
BAC,2026-03-02,3.8676,0.5,0.0193,
BAC,2026-03-03,3.7033,-4.25,-0.1644,
BAC,2026-03-04,3.858,4.18,0.1547,
BAC,2026-03-05,3.6936,-4.26,-0.1644,
BAC,2026-03-06,3.8483,4.19,0.1547,
BAC,2026-03-09,3.771,-2.01,-0.0774,
BAC,2026-03-10,3.829,1.54,0.058,
BAC,2026-03-11,3.7226,-2.78,-0.1064,
BAC,2026-03-12,3.8096,2.34,0.087,
BAC,2026-03-13,3.4905,-8.38,-0.3191,
BAC,2026-03-16,3.7903,8.59,0.2997,
BAC,2026-03-17,3.8193,0.77,0.029,
BAC,2026-03-18,3.8096,-0.25,-0.0097,
BAC,2026-03-19,3.6259,-4.82,-0.1837,
BAC,2026-03-20,3.5679,-1.6,-0.058,
BAC,2026-03-23,3.4809,-2.44,-0.087,
BAC,2026-03-24,3.0844,-11.39,-0.3964,
BAC,2026-03-25,3.2005,3.76,0.116,
BAC,2026-03-26,3.1908,-0.3,-0.0097,
BAC,2026-03-27,3.0748,-3.64,-0.116,
BAC,2026-03-30,3.0168,-1.89,-0.058,
BAC,2026-03-31,2.9201,-3.21,-0.0967,
BAC,2026-04-01,2.804,-3.97,-0.116,
BAC,2026-04-02,2.9007,3.45,0.0967,
BAC,2026-04-07,2.8427,-2.0,-0.058,
BAC,2026-04-08,2.9394,3.4,0.0967,
BAC,2026-04-09,2.9491,0.33,0.0097,
BAC,2026-04-10,2.9007,-1.64,-0.0483,
BAC,2026-04-13,2.8911,-0.33,-0.0097,
